id,cliente_id,valor,data,intervalo
1734,74,-1.0,2020-11-29 21:47:24-03:00,0 days 00:00:37
1735,74,-1.0,2020-11-29 21:47:44-03:00,0 days 00:00:20
1736,74,-1.0,2020-11-29 21:48:07-03:00,0 days 00:00:23
1740,74,-1.0,2020-11-29 22:03:16-03:00,0 days 00:00:40
1741,74,-1.0,2020-11-29 22:03:43-03:00,0 days 00:00:27
1742,74,-1.0,2020-11-29 22:04:10-03:00,0 days 00:00:27
1746,74,-1.0,2020-11-29 22:15:54-03:00,0 days 00:00:19
1747,74,-1.0,2020-11-29 22:16:12-03:00,0 days 00:00:18
1748,74,-1.0,2020-11-29 22:16:38-03:00,0 days 00:00:26
1753,74,-1.0,2020-11-29 22:27:54-03:00,0 days 00:00:24
1754,74,-1.0,2020-11-29 22:28:30-03:00,0 days 00:00:36
1764,74,-1.0,2020-11-30 19:01:32-03:00,0 days 00:00:19
1765,74,-1.0,2020-11-30 19:03:18-03:00,0 days 00:01:46
1766,74,-7.0,2020-11-30 19:04:27-03:00,0 days 00:01:09
1770,74,-1.0,2020-11-30 19:45:31-03:00,0 days 00:00:33
1771,74,-10.0,2020-11-30 19:45:48-03:00,0 days 00:00:17
1775,74,-1.0,2020-11-30 20:31:30-03:00,0 days 00:00:25
1776,74,-100.0,2020-11-30 20:32:33-03:00,0 days 00:01:03
1785,74,-10.0,2020-12-01 09:47:36-03:00,0 days 00:00:20
1786,74,-10.0,2020-12-01 09:48:59-03:00,0 days 00:01:23
1787,74,-50.0,2020-12-01 09:49:24-03:00,0 days 00:00:25
1791,74,-1.0,2020-12-01 10:04:38-03:00,0 days 00:00:22
1792,74,-1.0,2020-12-01 10:04:57-03:00,0 days 00:00:19
1850,74,-1.0,2020-12-02 10:05:58-03:00,0 days 00:01:38
1894,74,-1.0,2020-12-03 21:01:29-03:00,0 days 00:00:25
1917,74,-2.0,2020-12-04 17:34:58-03:00,0 days 00:00:43
1927,74,-10.0,2020-12-05 19:36:28-03:00,0 days 00:00:54
1954,74,-1.0,2020-12-08 17:02:51-03:00,0 days 00:01:30
1955,74,-1.0,2020-12-08 17:03:52-03:00,0 days 00:01:01
1982,74,-1.0,2020-12-08 19:12:32-03:00,0 days 00:00:59
1983,74,-1.0,2020-12-08 19:13:10-03:00,0 days 00:00:38
1985,74,-1.0,2020-12-08 19:14:41-03:00,0 days 00:01:31
1986,74,-1.0,2020-12-08 19:16:29-03:00,0 days 00:01:48
1993,74,-1.0,2020-12-08 19:41:29-03:00,0 days 00:00:34
1994,74,-1.0,2020-12-08 19:41:46-03:00,0 days 00:00:17
1995,74,-1.0,2020-12-08 19:42:03-03:00,0 days 00:00:17
1996,74,-1.0,2020-12-08 19:42:47-03:00,0 days 00:00:44
1999,74,-1.0,2020-12-08 20:12:43-03:00,0 days 00:00:40
2000,74,-1.0,2020-12-08 20:12:59-03:00,0 days 00:00:16
2001,74,-1.0,2020-12-08 20:13:33-03:00,0 days 00:00:34
2011,74,-1.0,2020-12-08 20:44:12-03:00,0 days 00:00:24
